eventID,trackID,parentID,particle,time_ns,x_mm,y_mm,z_mm,energy_MeV,process,edep_MeV
3,19408,19406,e+,0.80012,6.71993,-15.9749,68.6098,0.0987246,conv,0.438056
3,19429,19259,e+,0.721519,7.60373,-3.93636,67.2354,2.64519,conv,0.0213857
3,19466,19445,e+,0.847673,-5.36608,-1.41523,102.3,0,conv,1.03816
3,19487,19252,e+,0.86659,0.539599,-4.1746,110.153,5.49984,conv,1.30048
3,19530,19526,e+,0.744602,7.36032,-4.76544,74.0603,5.93043,conv,2.67714
3,19580,19524,e+,0.743958,7.02228,-5.36112,73.7054,0,conv,0.990471
3,19623,19511,e+,0.733087,7.21886,-3.75995,70.6753,0,conv,2.26379
3,19634,19508,e+,0.731117,7.44606,-3.66463,70.1021,2.06818,conv,1.11202
3,19642,19635,e+,0.820759,-2.89356,-8.51507,94.4245,0,conv,0.211515
3,19657,19507,e+,0.748089,8.03447,-4.14752,75.2028,6.96405,conv,0.197693
3,19672,18976,e+,0.683296,8.55063,-3.75556,55.8209,127.607,conv,1.20868
3,19701,19682,e+,0.703946,8.71544,-3.86337,61.7825,0,conv,0.281972
3,19727,19675,e+,0.69705,8.05668,-4.09457,59.8963,43.782,conv,2.60291
3,19740,19738,e+,0.726794,6.06567,-0.591147,66.9784,0,conv,0.615295
3,19754,19737,e+,0.741079,1.69556,2.114,66.877,0,conv,0.571078
3,19823,19796,e+,0.70518,7.58787,-4.96664,62.1437,11.259,conv,3.84383
3,19862,19673,e+,0.700044,8.40999,-4.012,60.8332,5.6798,conv,0.451587
3,19873,19864,e+,0.710403,8.55689,-3.02586,63.752,0,conv,1.49728
3,19880,19863,e+,0.743243,7.65299,-5.05065,73.7122,9.16791,conv,1.82728
3,19891,19885,e+,0.75908,10.2341,-4.8639,71.0968,0.0113087,conv,2.22504
3,19930,18975,e+,0.675862,8.71892,-3.73066,53.5966,6.48007,conv,0.457758
3,19948,18974,e+,0.676218,8.68816,-3.70087,53.7038,14.0405,conv,0.102924
3,19975,19949,e+,0.683156,8.35269,-3.47304,55.7406,0,conv,0.564254
3,20007,18972,e+,0.688412,8.41212,-3.79704,57.3484,203.936,conv,0.414034
3,20052,20025,e+,0.713716,8.15648,-6.79714,63.4231,19.3499,conv,1.47793
3,20063,20055,e+,0.774224,18.8908,-16.5634,74.2735,5.17713,conv,1.1013
3,20090,20054,e+,0.723706,9.99389,-8.0338,65.3705,0,conv,0.151623
3,20134,20013,e+,0.833053,0.0496106,-3.66339,99.8896,0,conv,0.597897
3,20143,20012,e+,0.706275,7.62491,-3.93682,62.6346,1.29805,conv,0.77893
3,20154,20011,e+,0.720317,6.99744,-3.65531,66.8066,68.2244,conv,1.54261
3,20175,20161,e+,0.757689,4.72036,-2.57202,77.5998,0,conv,0.675806
3,20212,20185,e+,0.863853,16.3733,-22.6019,95.5666,0,conv,0.145814
3,20236,20158,e+,0.742795,6.39241,-4.09448,73.4975,12.7524,conv,0.116879
3,20249,20239,e+,0.770652,8.33256,-6.8941,81.0635,2.72677,conv,1.69463
